mean_x,mean_y,mean_z,min_x,min_y,min_z,max_x,max_y,max_z,median_x,median_y,median_z
-0.0513,1.00344,-0.05135,-0.648,0.701,-0.408,0.446,1.276,0.419,-0.038,0.994,-0.0575
0.0237,1.14307,0.01807,-1.545,-0.818,-1.93,1.918,3.255,1.83,-0.026,1.031,-0.0715
-0.26804,1.40699,0.08792,-2.601,-0.818,-2.041,2.018,3.718,1.93,-0.2935,1.683,0.0145
-0.44041,1.36052,0.27957,-2.601,-1.302,-2.041,2.018,4.167,1.941,-0.635,1.4795,0.5615
-0.18204,1.14933,0.52091,-2.103,-1.331,-1.933,1.78,4.167,2.026,-0.227,0.811,0.9985
-0.00115,1.15539,0.51286,-2.481,-1.331,-1.933,1.795,4.158,2.026,0.123,1.009,1.0605
-0.03433,1.31718,0.32615,-2.481,-0.988,-1.856,1.795,4.158,1.906,0.317,1.4235,0.5765
-0.17314,1.32837,0.02346,-2.012,-0.584,-1.716,1.428,4.029,1.642,-0.1365,1.183,0.009
-0.11721,1.11401,-0.09123,-0.54,0.762,-0.93,0.39,2.355,0.39,-0.044,1.009,-0.056
-0.0348,0.98742,-0.05809,-0.487,0.762,-0.279,0.138,1.525,0.12,-0.035,0.988,-0.059
-0.0338,0.98931,-0.06154,-0.056,0.971,-0.091,-0.012,1.0,-0.029,-0.032,0.988,-0.065
-0.03377,0.98965,-0.06176,-0.065,0.962,-0.094,-0.012,1.023,-0.026,-0.032,0.988,-0.059
-0.02796,0.90437,-0.0129,-0.208,-1.282,-0.164,0.387,1.909,0.496,-0.032,0.991,-0.0575
-0.00888,-0.13588,-0.09968,-0.346,-1.886,-0.628,0.408,1.909,0.496,-0.023,-0.563,-0.0985
0.04001,-1.0795,-0.10497,-0.375,-2.158,-0.628,0.408,-0.37,0.196,0.079,-1.023,-0.0425
0.07982,-1.04197,0.02198,-0.375,-2.158,-0.109,0.15,-0.871,0.196,0.082,-1.015,0.018
0.08338,-1.01523,0.01834,0.073,-1.026,0.0,0.094,-1.009,0.041,0.082,-1.015,0.018
0.01388,-1.00729,0.01191,-0.44,-1.472,-0.103,0.138,-0.255,0.106,0.082,-1.015,0.015
-0.49098,-0.59167,-0.00832,-1.537,-1.56,-0.15,0.138,0.252,0.12,-0.4015,-0.538,0.003
-0.95595,-0.13264,-0.02857,-1.537,-1.56,-0.15,-0.276,0.252,0.12,-0.985,-0.082,-0.035
-0.98543,-0.08161,-0.03446,-0.997,-0.103,-0.05,-0.977,-0.067,-0.023,-0.985,-0.082,-0.035
-0.98524,-0.08119,-0.03431,-0.991,-0.1,-0.041,-0.982,-0.07,-0.023,-0.985,-0.082,-0.035
-0.9853,-0.08047,-0.03479,-0.988,-0.097,-0.044,-0.982,-0.07,-0.023,-0.985,-0.082,-0.035
-0.99329,-0.07479,-0.03564,-1.223,-0.343,-0.364,-0.777,0.152,0.296,-0.985,-0.082,-0.035
-0.50319,-0.03083,0.38084,-1.223,-0.748,-0.364,0.947,0.396,1.305,-0.848,-0.076,0.2065
0.51137,0.00348,0.40496,-0.874,-0.748,-0.323,1.279,0.396,1.305,0.8605,0.0245,0.271
1.02618,0.02069,-0.01649,0.815,-0.513,-0.323,1.279,0.161,0.299,1.023,0.044,-0.044
1.023,0.04437,-0.04555,1.003,-0.029,-0.067,1.056,0.082,-0.023,1.023,0.047,-0.044
1.02098,0.04746,-0.04664,1.009,0.029,-0.056,1.032,0.067,-0.035,1.023,0.047,-0.05
1.06767,0.0611,-0.07187,0.654,-0.067,-0.66,1.93,0.548,0.065,1.023,0.047,-0.044
0.7091,0.04637,-0.31928,-3.135,-0.771,-2.264,2.238,0.575,0.551,1.018,0.041,-0.044
0.17604,-0.01975,-0.78542,-3.135,-0.771,-2.264,2.238,0.575,0.551,0.041,-0.0605,-1.009
0.04493,-0.06127,-1.02573,-0.179,-0.199,-1.384,0.636,0.173,-0.915,0.041,-0.0645,-1.023
0.04165,-0.06827,-1.0224,0.026,-0.141,-1.029,0.07,-0.009,-1.012,0.041,-0.067,-1.023
0.04113,-0.06202,-1.02237,0.023,-0.141,-1.029,0.07,0.015,-1.012,0.041,-0.062,-1.023
0.03727,-0.07388,-1.02647,-0.082,-0.499,-1.243,0.079,0.015,-1.018,0.041,-0.067,-1.023
-0.00825,0.21526,-0.49305,-0.44,-0.674,-1.258,0.416,1.155,1.021,0.035,-0.05,-1.0195
-0.03507,0.33344,0.52288,-0.774,-0.674,-1.258,0.44,1.155,2.589,-0.035,0.1775,0.862
-0.007,0.07835,0.9906,-0.774,-0.246,0.698,0.44,0.786,2.589,0.003,0.015,0.979
0.00526,0.01397,0.98001,-0.012,0.0,0.953,0.026,0.032,1.009,0.003,0.015,0.979
0.00456,0.01158,0.98017,-0.003,0.0,0.977,0.012,0.018,0.988,0.003,0.012,0.979
0.00375,0.01224,0.97994,-0.003,0.003,0.977,0.015,0.018,0.988,0.003,0.012,0.979
0.00432,0.01179,0.97991,-0.003,0.003,0.977,0.015,0.018,0.982,0.003,0.012,0.979
-0.11842,0.24862,1.03455,-0.83,-0.012,0.51,0.378,1.17,1.674,0.003,0.012,0.982
-0.3438,0.67867,0.58774,-2.927,-0.419,-1.097,1.399,2.886,1.674,-0.1625,0.5085,0.937
-0.31777,0.95789,0.07315,-3.393,-0.419,-1.707,1.601,2.886,1.595,0.0395,0.6435,0.11
-0.14231,1.08929,-0.09352,-3.393,-0.1,-1.95,1.762,3.041,1.663,0.4695,0.8385,-0.1815
-0.2618,1.26696,-0.40868,-3.282,-0.044,-2.109,1.762,3.041,1.771,0.1305,1.26,-0.752
-0.50254,1.22322,-0.37223,-3.282,-0.044,-2.109,1.443,2.642,1.771,-0.4165,1.2335,-0.6875
-0.30824,1.04525,-0.07453,-2.669,0.32,-1.68,1.191,2.496,1.757,0.018,1.012,-0.015
-0.04045,1.02441,-0.02432,-1.211,0.352,-0.267,0.484,2.059,0.346,-0.023,0.991,-0.053
-0.0369,0.99717,-0.06861,-0.246,0.352,-0.267,0.067,2.059,-0.026,-0.038,0.988,-0.066
-0.03302,0.98953,-0.06387,-0.079,0.982,-0.103,0.026,1.003,-0.029,-0.032,0.988,-0.065
-0.03404,0.98888,-0.06367,-0.079,0.974,-0.097,0.026,1.003,-0.038,-0.038,0.988,-0.065
-0.03405,0.99007,-0.06407,-0.067,0.947,-0.097,0.047,1.106,-0.038,-0.038,0.988,-0.065
-0.02743,0.99544,-0.06552,-0.296,0.484,-0.135,0.141,1.543,0.029,-0.0305,0.988,-0.065
-0.02657,0.99496,-0.05236,-0.296,0.484,-0.135,0.141,1.543,0.067,-0.029,0.991,-0.056
-0.02973,0.99113,-0.03798,-0.138,0.862,-0.135,0.073,1.129,0.067,-0.032,0.991,-0.038
-0.02751,0.9914,-0.03738,-0.088,0.959,-0.103,0.026,1.029,0.023,-0.029,0.991,-0.038
-0.02769,0.99088,-0.03729,-0.056,0.959,-0.103,0.015,1.029,0.023,-0.029,0.991,-0.038
-0.02846,0.99068,-0.0368,-0.07,0.933,-0.079,0.023,1.056,0.035,-0.029,0.991,-0.0395
-0.02825,0.99122,-0.03596,-0.123,0.918,-0.15,0.179,1.056,0.059,-0.032,0.991,-0.041
-0.02918,0.99098,-0.03584,-0.287,0.856,-0.311,0.179,1.238,0.173,-0.029,0.991,-0.0395
-0.02811,0.99117,-0.03671,-0.287,0.856,-0.311,0.176,1.238,0.173,-0.026,0.9895,-0.038
-0.02624,0.99158,-0.03652,-0.1,0.941,-0.109,0.053,1.047,0.038,-0.026,0.991,-0.038
-0.02783,0.99105,-0.03614,-0.073,0.971,-0.085,0.018,1.012,0.009,-0.026,0.991,-0.038
-0.02876,0.99052,-0.03678,-0.059,0.985,-0.065,0.003,1.0,-0.009,-0.029,0.991,-0.038
-0.02766,0.99007,-0.03687,-0.056,0.982,-0.059,-0.003,1.0,-0.015,-0.026,0.991,-0.038
-0.02718,0.9907,-0.03687,-0.047,0.982,-0.059,-0.012,1.0,-0.018,-0.026,0.991,-0.038
-0.02734,0.99086,-0.03732,-0.126,0.894,-0.135,0.123,1.076,0.085,-0.0275,0.991,-0.038
-0.02724,0.9909,-0.03668,-0.126,0.894,-0.135,0.123,1.076,0.085,-0.029,0.991,-0.038
-0.02832,0.99076,-0.0364,-0.085,0.956,-0.079,0.018,1.032,0.015,-0.029,0.991,-0.038
-0.02917,0.99015,-0.03697,-0.059,0.977,-0.07,0.003,1.003,-0.003,-0.029,0.988,-0.038
-0.02795,0.99019,-0.03691,-0.056,0.985,-0.059,-0.003,0.997,-0.012,-0.029,0.991,-0.0365
-0.02683,0.99004,-0.03647,-0.053,0.985,-0.056,-0.003,0.997,-0.015,-0.026,0.991,-0.035
-0.02742,0.99016,-0.03652,-0.053,0.985,-0.053,-0.012,0.997,-0.015,-0.026,0.991,-0.0365
-0.0277,0.99046,-0.03671,-0.044,0.985,-0.053,-0.012,0.997,-0.023,-0.029,0.991,-0.038
-0.02753,0.99019,-0.0365,-0.044,0.988,-0.053,-0.012,0.997,-0.023,-0.029,0.991,-0.038
-0.02752,0.99013,-0.03659,-0.041,0.985,-0.053,-0.012,0.997,-0.026,-0.029,0.991,-0.038
-0.02765,0.99019,-0.0371,-0.044,0.985,-0.05,-0.015,0.997,-0.026,-0.0275,0.991,-0.038
-0.02781,0.99061,-0.03737,-0.044,0.985,-0.05,-0.015,0.997,-0.026,-0.029,0.991,-0.038
-0.02771,0.99037,-0.03719,-0.041,0.985,-0.044,-0.018,0.997,-0.026,-0.029,0.991,-0.038
-0.02754,0.99004,-0.03704,-0.038,0.988,-0.044,-0.018,1.0,-0.029,-0.026,0.991,-0.038
-0.02748,0.99028,-0.03734,-0.038,0.988,-0.044,-0.018,1.0,-0.029,-0.026,0.991,-0.038
-0.02785,0.99016,-0.03731,-0.032,0.988,-0.044,-0.018,0.997,-0.029,-0.029,0.991,-0.038
-0.02821,0.99025,-0.03698,-0.038,0.988,-0.041,-0.018,0.997,-0.029,-0.029,0.991,-0.038
-0.02808,0.99028,-0.0371,-0.038,0.988,-0.044,-0.018,0.997,-0.029,-0.029,0.991,-0.038
-0.02798,0.99055,-0.03725,-0.038,0.988,-0.044,-0.023,0.997,-0.029,-0.029,0.991,-0.038
-0.02822,0.99031,-0.03755,-0.038,0.988,-0.041,-0.023,0.997,-0.035,-0.029,0.991,-0.038
-0.02813,0.99001,-0.0377,-0.038,0.985,-0.041,-0.023,0.997,-0.035,-0.029,0.991,-0.038
-0.02778,0.99043,-0.03746,-0.032,0.982,-0.041,-0.018,1.0,-0.035,-0.029,0.991,-0.038
-0.02754,0.99019,-0.03722,-0.032,0.982,-0.041,-0.018,1.0,-0.029,-0.029,0.991,-0.038
-0.0278,0.98998,-0.03764,-0.032,0.985,-0.041,-0.023,1.0,-0.029,-0.029,0.991,-0.038
-0.02798,0.99004,-0.03776,-0.032,0.982,-0.041,-0.023,1.0,-0.029,-0.029,0.991,-0.038
-0.02765,0.99052,-0.0377,-0.032,0.982,-0.041,-0.023,1.0,-0.029,-0.029,0.991,-0.038
-0.0277,0.99067,-0.03785,-0.038,0.985,-0.05,-0.018,1.0,-0.026,-0.029,0.991,-0.038
-0.02827,0.99022,-0.03755,-0.044,0.985,-0.05,-0.018,0.997,-0.026,-0.029,0.991,-0.038
-0.02816,0.98995,-0.03752,-0.044,0.985,-0.041,-0.018,0.997,-0.029,-0.029,0.991,-0.038
-0.02795,0.98983,-0.03767,-0.038,0.988,-0.041,-0.023,0.997,-0.035,-0.029,0.991,-0.038
-0.02784,0.99026,-0.03775,-0.047,0.977,-0.056,-0.009,1.003,-0.018,-0.029,0.991,-0.038
-0.02789,0.99008,-0.03766,-0.047,0.977,-0.056,-0.009,1.003,-0.018,-0.029,0.991,-0.038
-0.02792,0.98989,-0.03728,-0.041,0.985,-0.044,-0.018,0.997,-0.029,-0.029,0.991,-0.038
-0.02764,0.99031,-0.03672,-0.041,0.985,-0.053,-0.015,0.997,-0.018,-0.029,0.991,-0.038
-0.02763,0.99031,-0.03633,-0.041,0.985,-0.053,-0.015,0.997,-0.018,-0.029,0.991,-0.035
-0.02789,0.99013,-0.03674,-0.041,0.988,-0.053,-0.018,0.997,-0.023,-0.029,0.991,-0.038
-0.02819,0.99037,-0.03695,-0.038,0.988,-0.053,-0.023,0.997,-0.023,-0.029,0.991,-0.038
